beta_stage2,beta_mf0,beta_mf1,beta_mb,beta_stick,Q_MB_rare_prob,alpha,lam,rew_rate,rew_rate_stderr
8.0,0.3780930233474714,0.3273114124433464,0.2945955642091822,0.0,0.3,0.01,0.5,0.5342187500000001,0.0028005115586682322
8.0,0.0,0.0,1.0,0.0,0.3,0.01,1.0,0.53428125,0.0027862829724804284
8.0,0.4703928315942538,0.0,0.5296071684057462,0.0,0.3,0.01,1.0,0.5291875,0.0026816387757185897
8.0,0.9157047706560335,0.0,0.0842952293439665,0.0,0.3,0.01,1.0,0.5293125,0.0026833134178544066
8.0,0.8838995087800127,0.0,0.11610049121998733,0.0,0.3,0.01,1.0,0.5293125,0.0026833134178544066
8.0,0.8102916596294973,0.0,0.18970834037050266,0.0,0.3,0.01,1.0,0.5293125,0.0026844050129288424
8.0,0.0,0.08384698438238303,0.916153015617617,0.0,0.3,0.01,1.0,0.5291875,0.0026787238609900605
8.0,0.0,0.41646916799602574,0.5835308320039743,0.0,0.3,0.01,1.0,0.5291875,0.0026754407858215626
8.0,0.0,0.7467031646886384,0.2532968353113616,0.0,0.3,0.01,1.0,0.52890625,0.0026848358433728074
8.0,0.0,0.43176326659516007,0.5682367334048399,0.0,0.3,0.01,1.0,0.532,0.0029128621019540207
8.0,0.2373870833743308,0.7626129166256692,0.0,0.0,0.3,0.01,1.0,0.528875,0.0026227482902005674
8.0,0.769502790788795,0.23049720921120498,0.0,0.0,0.3,0.01,1.0,0.52846875,0.0026134406481656274
8.0,0.9395210394540262,0.06047896054597379,0.0,0.0,0.3,0.01,1.0,0.5285,0.0026152348125933166
8.0,0.24529109836744123,0.7547089016325588,0.0,0.0,0.3,0.01,1.0,0.5288125000000001,0.002612128973354397
8.0,0.0,0.7048996241705012,0.2951003758294988,0.0,0.3,0.01,1.0,0.5343125000000001,0.0029290061707749095
8.0,0.32197392552356763,0.6780260744764324,0.0,0.0,0.3,0.01,1.0,0.5342499999999999,0.0029215658258885764
